"Age","Gender","Education","Employment","F.Chat","Purp.Chat","F.Google","Purp.Google","F.Google","Purp.Google","AVG.MGT","AVG.MGP","AVG.TGT","AVG.TGP","F.Chat","Purp.Chat","AVG.MCT","AVG.MCP","AVG.TCT","AVG.TCP"
23,1,2,2,1,"Educational purposes; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,73","3,6","4,64","3,65",1,"Educational purposes; Recommendations","3,27","3","3,64","3,4"
24,2,2,1,2,"Educational purposes; Professional purposes; Self-development",4,"Educational purposes; Professional purposes",4,"Educational purposes; Professional purposes","2,18","2,2","3,45","2,61",2,"Educational purposes; Professional purposes; Self-development","3","2,2","3,27","3,6"
24,1,2,2,4,"Educational purposes; Self-development",1,"Educational purposes; Self-development",1,"Educational purposes; Self-development","3,55","3,4","3,45","3,21",4,"Educational purposes; Self-development","3,27","2,4","3,36","2,6"
22,3,2,2,4,"Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,64","4,8","4,45","3,2",4,"Recommendations","1,91","1,2","2,55","1,2"
22,2,2,2,1,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development","3,64","4,4","3,55","3,77",1,"Educational purposes; Professional purposes","3,45","3,8","3,45","3,6"
23,2,1,2,4,"Educational purposes; ideas or revisions or summaries ",4,"Educational purposes; free time but mostly emails",4,"Educational purposes; free time but mostly emails","1,73","2,4","3,55","2,26",4,"Educational purposes; ideas or revisions or summaries ","1,64","2","3,27","3,2"
27,2,2,1,3,"Educational purposes; Recommendations",1,"Educational purposes; Recommendations; Medical advice",1,"Educational purposes; Recommendations; Medical advice","3,27","3,8","4,36","3",3,"Educational purposes; Recommendations","2,18","1,4","3,55","2,2"
21,2,2,3,2,"Educational purposes; Professional purposes",2,"Educational purposes; Self-development; Recommendations",2,"Educational purposes; Self-development; Recommendations","3,18","1,6","4,64","2,81",2,"Educational purposes; Professional purposes","2,82","1,8","4,55","4"
19,2,1,2,4,"Educational purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development","2,09","2","3,09","2,53",4,"Educational purposes; Self-development","2,45","3","3,27","3,8"
26,2,3,2,1,"Educational purposes; Professional purposes; ",1,"Educational purposes; Self-development; Medical advice",1,"Educational purposes; Self-development; Medical advice","2,55","2,4","2,18","2,46",1,"Educational purposes; Professional purposes; ","3,18","2","3,91","4,4"
25,1,2,3,3,"Educational purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3","1,8","3,91","2,94",3,"Educational purposes; Self-development","3","3","4,09","4,6"
25,2,3,2,2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,82","4,8","4,64","3,96",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","2,73","3,8","3","2,2"
24,1,2,2,1,"Educational purposes; Self-development",1,"Self-development; Recommendations",1,"Self-development; Recommendations","3,18","3","3,09","2,97",1,"Educational purposes; Self-development","3","2,6","3","3,4"
26,2,3,2,2,"Educational purposes",1,"Educational purposes; Recommendations; Medical advice",1,"Educational purposes; Recommendations; Medical advice","2","1,8","3,36","2,2",2,"Educational purposes","1,82","2","3","3,8"
22,1,1,2,2,"Educational purposes; Curiosity",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; Pretty much everything ",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; Pretty much everything ","3,09","3,6","4,55","3,54",2,"Educational purposes; Curiosity","3,45","3","4,73","3,8"
30,1,3,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,64","4,2","3,55","3,64",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3","3,8","4,18","5"
24,1,2,2,2,"Educational purposes",1,"Educational purposes",1,"Educational purposes","3,36","3,8","4,09","3,74",2,"Educational purposes","3,45","4","4","4,4"
25,1,2,2,2,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,64","2,6","3,91","2,99",2,"Educational purposes; Professional purposes; Self-development","3","2,8","3,82","3,8"
32,2,3,3,1,"Professional purposes",1,"Recommendations",1,"Recommendations","3,45","2,6","4,27","3,63",1,"Professional purposes","3,82","4","3,73","4,4"
26,2,2,3,4,"Professional purposes",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","3,36","3,8","2,64","3,07",4,"Professional purposes","2,55","3","3,64","3,6"
22,1,2,1,1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3,09","4","3,55","3,52",1,"Educational purposes; Professional purposes; Self-development","3,18","3,8","3,73","4"
25,1,2,3,1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","2,73","3,2","3,18","3,33",1,"Educational purposes; Professional purposes; Recommendations","4,36","3,2","3,91","3,8"
25,1,2,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Search for images and read wikipedia articles",1,"Educational purposes; Professional purposes; Self-development; Search for images and read wikipedia articles","3,64","4,2","3,64","3,95",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","4,09","4,2","3,91","4,8"
27,1,2,3,1,"Professional purposes",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3","2,2","4,27","2,8",1,"Professional purposes","2,55","2","4,18","5"
24,2,2,1,2,"Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; ",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; ","3,36","4,6","4","3,83",2,"Professional purposes; Recommendations","3,36","3,8","4,64","5"
26,2,2,3,1,"Professional purposes; Self-development; Recommendations",2,"Recommendations; Medical advice",2,"Recommendations; Medical advice","2,73","2,8","3,73","2,84",1,"Professional purposes; Self-development; Recommendations","2,55","2,4","3,64","3,8"
26,2,2,3,1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes","2,27","2,4","2,18","2,88",1,"Educational purposes; Professional purposes; Recommendations","3,55","4","4,09","4,8"
32,1,2,3,1,"Professional purposes; Self-development; Recommendations",2,"Professional purposes; Self-development; Recommendations",2,"Professional purposes; Self-development; Recommendations","1,73","1,8","2,82","2,35",1,"Professional purposes; Self-development; Recommendations","2,82","2,6","4,18","4,2"
26,1,1,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,73","1,4","3,82","3,03",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3","4,2","3,27","2,4"
26,2,2,3,3,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","4,09","4,4","3,82","3,32",3,"Educational purposes; Professional purposes; Recommendations","1,91","2,4","3,73","4"
26,1,3,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,55","4,8","4","4,29",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","4,09","5","4,27","5"
25,2,2,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Recommendations; Medical advice",1,"Recommendations; Medical advice","3,73","3,8","3,91","3,95",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3,91","4,4","4,82","5"
25,2,3,3,2,"Educational purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","3,82","3,8","4","3,72",2,"Educational purposes; Recommendations","3,36","3,6","2,91","3,2"
26,1,2,3,2,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations","3,45","3,4","3,64","3,26",2,"Educational purposes; Self-development; Recommendations","2,82","3","3,64","3,6"
30,1,2,3,1,"Educational purposes; Professional purposes",1,"Daily searching about stuff",1,"Daily searching about stuff","2,18","1,8","3,82","3",1,"Educational purposes; Professional purposes","4","3,2","4,27","4,8"
26,1,1,3,1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Recommendations; Medical advice","3,82","3,8","3,45","3,51",1,"Educational purposes; Professional purposes; Self-development","3,45","3","3,91","5"
28,1,2,3,1,"Educational purposes; Professional purposes; Recommendations; Cooking; touristic advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","1,82","1,8","3,36","2,42",1,"Educational purposes; Professional purposes; Recommendations; Cooking; touristic advice","2,73","2,4","3,55","3,8"
23,2,2,2,1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,36","1,8","3,64","2,68",1,"Educational purposes; Professional purposes; Recommendations","3","2,6","3,82","3,8"
27,2,3,3,2,"Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","3,45","3,6","2,73","3,58",2,"Professional purposes; Recommendations","3,91","4,2","4,45","4,4"
23,1,3,2,4,"none",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","3,82","3,4","3,82","3,45",4,"none","3","3,2","2,64","2,6"
26,1,4,2,2,"Educational purposes; Translation and grammar correction",1,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes","2,82","3","4,09","3,24",2,"Educational purposes; Translation and grammar correction","2,91","3,4","3,45","3,8"
22,1,2,2,1,"Educational purposes; Professional purposes; Recommendations",1,"Professional purposes; As a base platform from which to access all of my daily apps (gmail; moodle; youtube)",1,"Professional purposes; As a base platform from which to access all of my daily apps (gmail; moodle; youtube)","3,36","4","3,82","3,24",1,"Educational purposes; Professional purposes; Recommendations","2,82","2,2","4,64","4,6"
23,1,2,2,4,"Educational purposes",1,"Educational purposes; Recommendations",1,"Educational purposes; Recommendations","3,64","4","4,27","3,39",4,"Educational purposes","2,82","2,2","4","3,2"
23,2,1,1,4,"Professional purposes",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","1,55","2","2,18","2,2",4,"Professional purposes","3,09","2,2","3,27","3"
27,1,2,1,1,"Self-development",2,"Self-development",2,"Self-development","2,55","2,6","3,18","2,77",1,"Self-development","2,73","2,8","2,55","3,2"
22,1,2,2,2,"Educational purposes; Recommendations; Leisure",1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations","3,09","3,8","3,64","3,73",2,"Educational purposes; Recommendations; Leisure","3,91","4,2","4,45","5"
24,2,2,2,1,"Educational purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,18","3,2","4","3,13",1,"Educational purposes; Self-development","3,09","2,2","2","1,4"
23,2,2,2,2,"Educational purposes; Self-development",1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations","2,09","2,4","3,55","2,39",2,"Educational purposes; Self-development","1,91","2","4,45","4,2"
23,2,3,2,2,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3,55","4","4,27","3,43",2,"Educational purposes; Professional purposes; Self-development; Recommendations","2,91","2,4","4,27","3,8"
23,1,1,2,1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","2,91","3","3,09","3,02",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,09","3","2,64","2,8"
23,1,1,1,2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,73","4","3,91","3,28",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","2,18","2,6","2,55","2,6"
24,2,2,2,1,"Educational purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; General Knoewledge",1,"Educational purposes; General Knoewledge","2,45","3,4","3,82","3,48",1,"Educational purposes; Self-development; Recommendations; Medical advice","3,73","4","3,36","3,4"
22,1,2,1,2,"Educational purposes",1,"Educational purposes",1,"Educational purposes","2,09","2","4","2,44",2,"Educational purposes","2,09","2","2,55","2,6"
26,1,3,2,4,"",2,"Self-development",2,"Self-development","2,64","2,4","2,73","3,29",4,"","3,91","4,8","3,09","3,6"
30,1,3,3,2,"Educational purposes; Professional purposes; Self-development; Recommendations",2,"Educational purposes; Professional purposes; Recommendations; Medical advice",2,"Educational purposes; Professional purposes; Recommendations; Medical advice","4","4","3,45","4,03",2,"Educational purposes; Professional purposes; Self-development; Recommendations","4,09","4,6","3,73","3,8"
24,1,2,2,4,"Quick access to information / Context translation",1,"Educational purposes; Recommendations",1,"Educational purposes; Recommendations","2,73","3,2","3,55","2,79",4,"Quick access to information / Context translation","2,09","2,4","2,73","2,2"
32,2,2,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,27","2,6","3,18","2,62",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,45","2,6","3,36","3,4"
26,1,2,3,2,"Professional purposes; Self-development",4,"Professional purposes; Self-development",4,"Professional purposes; Self-development","2,64","3,2","3,27","3,02",2,"Professional purposes; Self-development","3,18","2,8","2,55","2,8"
26,1,3,2,2,"Educational purposes; Self-development",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","2,73","2,8","4,27","3,43",2,"Educational purposes; Self-development","3,55","3,8","1,91","1,6"
24,2,2,3,1,"Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","3","2,6","3,91","3,23",1,"Professional purposes; Recommendations","3,64","3","3,55","3,2"
34,1,2,3,2,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Recommendations; Medical advice","2,45","2,8","3,55","3,53",2,"Educational purposes; Self-development; Recommendations","4,45","4,4","4,36","4,6"
25,1,2,3,1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,91","3","3,91","3,2",1,"Educational purposes; Professional purposes; Self-development","3,18","3","3,82","4,2"
29,1,3,3,1,"Professional purposes",1,"Professional purposes",1,"Professional purposes","3,09","3","2,64","2,88",1,"Professional purposes","3,09","2,6","3,64","3,4"
25,1,3,3,2,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,55","4","3,45","3,79",2,"Educational purposes; Professional purposes","3,55","4,4","3,45","4,8"
22,1,2,2,2,"Educational purposes; Recommendations; Leisure",1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations","3,09","3,8","3,64","3,73",2,"Educational purposes; Recommendations; Leisure","3,91","4,2","4,45","5"
24,2,2,2,1,"Educational purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,18","3,2","4","3,13",1,"Educational purposes; Self-development","3,09","2,2","2","1,4"
23,2,2,2,2,"Educational purposes; Self-development",1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations","2,09","2,4","3,55","2,39",2,"Educational purposes; Self-development","1,91","2","4,45","4,2"
23,2,3,2,2,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3,55","4","4,27","3,43",2,"Educational purposes; Professional purposes; Self-development; Recommendations","2,91","2,4","4,27","3,8"
34,1,3,3,3,"how-tos / instructions",1,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes","3,45","3,8","4,18","2,89",3,"how-tos / instructions","1,82","1,2","3,36","2,2"
34,2,2,3,1,"Professional purposes; Self-development; Recommendations",1,"General information",1,"General information","1,82","1","4,73","2,11",1,"Professional purposes; Self-development; Recommendations","2","1","3,82","4,4"
31,2,3,3,1,"Professional purposes",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3,09","3","3,82","2,6",1,"Professional purposes","1,27","1,8","2,91","2"
33,2,4,3,1,"Professional purposes",1,"Professional purposes; Self-development",1,"Professional purposes; Self-development","3,64","3,6","3,64","2,91",1,"Professional purposes","2,09","1,6","3,82","3,8"
25,1,3,2,1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes","3,45","4,8","4","3,48",1,"Educational purposes; Professional purposes; Self-development","2,73","2,4","3,09","3,8"
18,1,1,2,2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; Futbol ",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; Futbol",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; Futbol","3,18","2,6","2,55","2,74",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; Futbol ","2,36","3","2,82","2,8"
22,1,2,2,1,"Educational purposes; Recommendations; Medical advice; Ocio y entretenimiento",1,"Educational purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Self-development; Recommendations; Medical advice","2,91","4","3,09","3,61",1,"Educational purposes; Recommendations; Medical advice; Ocio y entretenimiento","3,64","4,4","3,82","4,8"
26,1,3,2,1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations","3,55","4","3,55","3,44",1,"Educational purposes; Self-development; Recommendations","2,91","3,2","3,73","4"
18,2,2,2,1,"Educational purposes",1,"Self-development",1,"Self-development","3,64","3,6","4,18","4,1",1,"Educational purposes","4,09","5","4,45","4,8"
18,1,2,2,2,"Educational purposes",1,"Medical advice",1,"Medical advice","3,64","3","3,36","3,35",2,"Educational purposes","3,55","3,2","3,36","3"
21,2,3,2,2,"Professional purposes",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","4,09","4","3,91","3,85",2,"Professional purposes","3,64","3,6","3,45","3,8"
19,1,2,2,1,"Educational purposes",2,"Educational purposes",2,"Educational purposes","2,55","2,8","3,73","3,4",1,"Educational purposes","3,91","4","4,09","3,4"
21,1,2,2,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,36","1,8","3,45","3,36",1,"Educational purposes; Professional purposes; Self-development; Recommendations","4,18","4","3,91","5"
22,1,3,2,1,"Educational purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; ",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; ","2,64","3,2","4,36","3,23",1,"Educational purposes; Self-development; Recommendations; Medical advice","2,55","3,4","3,91","5"
23,2,3,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"To look up information; answer questions; compare options; and find useful resources on various topics",1,"To look up information; answer questions; compare options; and find useful resources on various topics","4,36","4,8","3,64","4,49",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","4,64","5","4,55","5"
29,1,3,2,3,"Professional purposes",1,"Professional purposes; Recommendations",1,"Professional purposes; Recommendations","1,82","2,6","3,45","2,24",3,"Professional purposes","1,91","1,4","3,27","2,6"
22,3,3,2,2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Recommendations",1,"Recommendations","2,09","2,6","4,27","3,06",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","2,55","3,8","4,36","4,8"
31,2,3,1,4,"Self-development",4,"Educational purposes; Professional purposes; Self-development",4,"Educational purposes; Professional purposes; Self-development","2,45","2","4,45","2,63",4,"Self-development","2,64","1,6","3,55","3,6"
26,2,3,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes","2,18","2,4","3,64","2,71",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,91","2,4","3,91","4,4"
34,1,3,NA,4,"Educational purposes; Recommendations",4,"Educational purposes; Recommendations",4,"Educational purposes; Recommendations","1,64","2,2","3,36","1,97",4,"Educational purposes; Recommendations","1,45","1,2","3,55","3,8"
23,2,3,2,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","1,18","1","4,73","1,82",1,"Educational purposes; Professional purposes; Self-development; Recommendations","1,18","1","3,91","4,2"
22,2,2,2,1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Self-development",1,"Educational purposes; Self-development","2,36","2,6","3,55","3,32",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,91","4,2","4,09","4,4"
22,2,2,2,2,"Educational purposes; Recommendations",1,"Educational purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Self-development; Recommendations; Medical advice","2,45","3,2","4,09","3,39",2,"Educational purposes; Recommendations","3","4,2","4","4,8"
32,2,2,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Self-interest",1,"Self-interest","1,91","2","2,73","2,4",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,36","3","3,36","3,8"
28,2,3,3,2,"To answer question or do research instead of google",2,"Educational purposes",2,"Educational purposes","1,55","1,8","3,36","2,46",2,"To answer question or do research instead of google","3","2,6","3,55","4,6"
30,2,3,3,3,"Professional purposes; Recommendations",1,"Professional purposes; Self-development; Recommendations",1,"Professional purposes; Self-development; Recommendations","2,09","2,2","3,82","2,29",3,"Professional purposes; Recommendations","1,55","1,8","3,55","4"
